year,pce,ttwsh
2000,Next 0.9%,.123
2001,Next 0.9%,.12
2002,Next 0.9%,.124
2003,Next 0.9%,.119
2004,Next 0.9%,.12
2005,Next 0.9%,.12
2006,Next 0.9%,.124
2007,Next 0.9%,.123
2008,Next 0.9%,.127
2009,Next 0.9%,.111
2010,Next 0.9%,.117
2011,Next 0.9%,.119
2012,Next 0.9%,.113
2013,Next 0.9%,.112
2014,Next 0.9%,.115
2015,Next 0.9%,.118
2016,Next 0.9%,.114
2017,Next 0.9%,.116
2018,Next 0.9%,.118
2019,Next 0.9%,.116
2020,Next 0.9%,.113
2021,Next 0.9%,.118
2022,Next 0.9%,.119
1990,Top 0.1%,.051
1991,Top 0.1%,.05
1992,Top 0.1%,.049
1993,Top 0.1%,.046
1994,Top 0.1%,.042
1995,Top 0.1%,.053
1996,Top 0.1%,.053
1997,Top 0.1%,.057
1998,Top 0.1%,.069
1999,Top 0.1%,.062
2000,Top 0.1%,.07
2001,Top 0.1%,.071
2002,Top 0.1%,.075
2003,Top 0.1%,.065
2004,Top 0.1%,.071
2005,Top 0.1%,.074
2006,Top 0.1%,.075
2007,Top 0.1%,.075
2008,Top 0.1%,.086
2009,Top 0.1%,.065
2010,Top 0.1%,.068
2011,Top 0.1%,.07
2012,Top 0.1%,.065
2013,Top 0.1%,.065
2014,Top 0.1%,.064
2015,Top 0.1%,.071
2016,Top 0.1%,.061
2017,Top 0.1%,.063
2018,Top 0.1%,.072
2019,Top 0.1%,.07
2020,Top 0.1%,.066
2021,Top 0.1%,.069
2022,Top 0.1%,.074
1990,Top 1%,.162
1991,Top 1%,.164
1992,Top 1%,.163
1993,Top 1%,.159
1994,Top 1%,.15
1995,Top 1%,.168
1996,Top 1%,.165
1997,Top 1%,.173
1998,Top 1%,.192
1999,Top 1%,.178
2000,Top 1%,.193
2001,Top 1%,.191
2002,Top 1%,.199
2003,Top 1%,.184
2004,Top 1%,.191
2005,Top 1%,.194
2006,Top 1%,.199
2007,Top 1%,.198
2008,Top 1%,.213
2009,Top 1%,.176
2010,Top 1%,.185
2011,Top 1%,.189
2012,Top 1%,.178
2013,Top 1%,.177
2014,Top 1%,.179
2015,Top 1%,.189
2016,Top 1%,.175
2017,Top 1%,.179
2018,Top 1%,.19
2019,Top 1%,.186
2020,Top 1%,.179
2021,Top 1%,.187
2022,Top 1%,.193
